Country,No_of_Departure,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Expenditure_Mil_Baht,Total_Expenditure_Mil_USD
Asia and the Pacific,9548754.0,4.46,6383.59,180.86,271702.61,7698.0
South-East Asia,4625015.0,3.66,5508.96,156.08,93267.63,2642.5
Brunei,2673.0,7.66,4494.06,127.33,92.03,2.61
Cambodia,757942.0,3.43,5188.47,147.0,13482.36,381.99
Indonesia,119183.0,4.13,4624.6,131.03,2275.17,64.46
Laos,1214090.0,3.38,5164.44,146.32,21167.99,599.74
Malaysia,1638506.0,3.96,5189.85,147.04,33686.81,954.43
Myanmar,41694.0,3.44,4944.86,140.1,708.61,20.08
Philippines,39292.0,3.82,6726.88,190.59,1010.99,28.64
Singapore,393933.0,3.7,8503.82,240.93,12410.03,351.61
Vietnam,417702.0,3.53,5711.7,161.83,8433.64,238.95
North-East Asia,4440084.0,4.98,6973.71,197.58,154049.32,4364.6
China,2092699.0,5.13,5842.65,165.54,62738.4,1777.53
Hong Kong (China),463217.0,4.06,7599.94,215.33,14303.81,405.26
Japan,1060914.0,5.38,8233.62,233.28,47023.19,1332.28
Korea (Republic of),380383.0,4.96,8441.61,239.17,15910.83,450.79
Macao (China),76092.0,4.53,3091.03,87.58,1065.21,30.18
Mongolia,954.0,8.81,5234.54,148.31,43.99,1.25
Taiwan,365825.0,4.16,8523.71,241.5,12963.89,367.3
South Asia,366566.0,6.2,6270.68,177.66,14260.1,404.02
Bangladesh,23526.0,7.19,5035.87,142.68,851.71,24.13
Bhutan,4689.0,6.98,5714.34,161.9,186.98,5.3
India,227580.0,4.7,6925.74,196.22,7409.03,209.92
Iran,17867.0,11.56,5597.4,158.59,1156.58,32.77
Maldives,18396.0,6.05,6187.77,175.31,688.31,19.5
Nepal,51319.0,8.72,6332.83,179.42,2833.64,80.28
Pakistan,15950.0,8.88,4421.31,125.27,626.22,17.74
Sri Lanka,7239.0,13.19,5314.82,150.58,507.63,14.38
Other in Asia,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,117089.0,10.83,7982.49,226.16,10125.56,286.88
Australia,104088.0,10.92,7855.79,222.57,8932.88,253.09
New Zealand,12995.0,10.1,9079.07,257.23,1192.12,33.78
Other in Oceania,6.0,10.41,8965.74,254.02,0.56,0.02
Europe,1451034.0,10.42,7500.1,212.5,113412.84,3213.27
Northern Europe,450985.0,13.08,7726.16,218.9,45584.79,1291.53
Denmark,24260.0,7.99,7620.58,215.91,1476.41,41.83
Finland,20075.0,10.11,7386.02,209.26,1499.52,42.49
Iceland,1.0,14.68,8174.4,231.6,0.12,0.0
Ireland,15.0,14.2,7279.04,206.23,1.55,0.04
Norway,4683.0,17.26,6002.26,170.06,485.1,13.74
Sweden,49056.0,26.14,5169.71,146.47,6629.83,187.84
United Kingdom,352895.0,11.73,8573.39,242.91,35492.26,1005.58
Western Europe,682839.0,9.38,7824.91,221.7,50139.87,1420.59
Austria,27878.0,7.75,7833.76,221.95,1692.76,47.96
Belgiun,40381.0,15.43,4679.84,132.59,2916.4,82.63
France,150874.0,8.88,7806.87,221.19,10457.67,296.29
Germany,267357.0,9.13,8459.79,239.69,20661.17,585.38
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,74702.0,8.69,7389.87,209.37,4798.39,135.95
Switzerland,121647.0,9.35,8452.85,239.49,9613.48,272.37
Central/Eastern Europe,136851.0,8.9,5445.08,154.27,6635.48,188.0
Belarus,1.0,14.0,2857.15,80.95,0.04,0.0
Bulgaria,8604.0,8.39,5914.2,167.56,426.84,12.09
Czech Republic,51928.0,8.58,4673.96,132.42,2083.5,59.03
Estonia,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,7849.0,11.65,5107.27,144.7,466.96,13.23
Kazakhstan,2702.0,6.44,7019.48,198.88,122.12,3.46
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0
Poland,8517.0,12.29,5224.35,148.02,546.76,15.49
Romania,8618.0,8.39,5916.48,167.63,427.62,12.12
Russian Federation,41620.0,8.55,6178.26,175.05,2197.82,62.27
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,35.0,7.86,6503.19,184.25,1.79,0.05
Uzbekistan,6977.0,8.44,6147.33,174.17,362.03,10.26
Southern/Medit. Europe,176939.0,8.83,7006.83,198.52,10950.0,310.24
Croatia,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0
Greece,5.0,9.67,5584.3,158.22,0.27,0.01
Israel,9616.0,9.61,6010.25,170.29,555.55,15.74
Italy,89692.0,8.16,8385.54,237.58,6136.67,173.87
Portugal,13.0,10.52,5338.99,151.27,0.73,0.02
Serbia,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0
Spain,30263.0,10.61,6297.52,178.42,2021.8,57.28
Turkey,47350.0,8.81,5356.09,151.75,2234.98,63.32
Other in Europe,3420.0,9.46,3173.72,89.92,102.7,2.91
America,186127.0,15.32,6518.49,184.68,18590.93,526.73
Canada,26208.0,9.95,7725.53,218.88,2015.51,57.1
Mexico,1.0,20.91,4782.4,135.5,0.1,0.0
United States of America,159872.0,16.21,6396.94,181.24,16572.83,469.55
Argentina,37.0,6.5,8188.88,232.01,1.97,0.06
Brazil,2.0,18.61,5374.89,152.28,0.2,0.01
Chile,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0
Peru,3.0,11.33,4117.65,116.66,0.14,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Other in America,4.0,14.0,3214.29,91.07,0.18,0.01
Middle East,501323.0,5.72,9205.59,260.82,26382.71,747.49
Bahrain,11814.0,6.13,7688.11,217.82,557.15,15.79
Egypt,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,2186.0,5.95,7308.41,207.07,94.98,2.69
Kuwait,5858.0,6.21,8764.97,248.33,318.77,9.03
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0
Oman,18684.0,5.38,8892.85,251.96,894.65,25.35
Qatar,125662.0,5.2,8980.99,254.45,5866.71,166.22
Saudi Arabia,26435.0,5.66,8510.3,241.12,1274.11,36.1
U.A.E.,310684.0,5.92,9440.81,267.48,17376.34,492.31
Yemen,0.0,0.0,0.0,0.0,0.0,0.0
Other in Middle East,0.0,0.0,0.0,0.0,0.0,0.0
Africa,33396.0,8.34,5007.34,141.87,1394.07,39.5
Morocco,0.0,0.0,0.0,0.0,0.0,0.0
South  Africa,5056.0,10.55,4548.95,128.88,242.55,6.87
Ethiopia,13190.0,8.19,5047.11,143.0,545.13,15.44
Kenya,5630.0,7.0,5432.63,153.92,214.1,6.07
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0
Other in Africa,9520.0,8.16,5050.96,143.11,392.29,11.11
Grand Total,11720634.0,5.43,6775.73,191.97,431483.16,12224.98
Note: Exchange rate 1 US$ = 35.30 Baht,,,,,,
